CustomerKey,Gender,YearlyIncome,MaritalStatus,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,SumProductCost,SumUnitPrice,OrderCount
18028,M,40000.00,M,1,0,Bachelors,Skilled Manual,1778.9545,3001.0425,3
18051,F,60000.00,M,1,0,Partial College,Skilled Manual,1095.5963,1735.98,2
18053,F,40000.00,S,0,0,Bachelors,Professional,2.7228,7.28,2
18058,F,20000.00,S,3,0,High School,Skilled Manual,14.9526,39.98,2
18060,F,60000.00,M,1,0,Partial College,Skilled Manual,1082.51,1700.99,1
18083,M,60000.00,M,2,1,Partial College,Professional,53.4449,89.97,3
18085,F,60000.00,S,2,1,Partial College,Professional,1126.2309,1764.96,4
18087,M,60000.00,S,2,1,Bachelors,Management,8.7886,13.98,2
18092,M,40000.00,M,2,1,Partial High School,Skilled Manual,1115.5942,1789.45,5
18094,M,60000.00,S,2,1,Bachelors,Management,25.6153,68.49,2
18117,M,60000.00,S,2,1,High School,Professional,8.7886,13.98,2
18119,M,60000.00,M,2,1,High School,Professional,8.7886,13.98,2
18126,M,130000.00,M,2,4,Partial College,Professional,4086.3782,6945.5825,7
18128,M,90000.00,M,2,1,High School,Professional,31.9695,85.48,2
18151,M,80000.00,S,5,0,Partial College,Professional,28.7868,76.97,2
18153,F,100000.00,M,2,3,Bachelors,Management,1.8663,4.99,1
18160,M,130000.00,M,3,4,High School,Professional,4074.7879,6914.5925,6
18162,F,90000.00,M,4,2,Partial College,Professional,2.7228,7.28,2
18185,F,110000.00,M,4,5,Partial High School,Professional,1871.4536,3332.3875,5
18187,M,150000.00,S,5,5,Bachelors,Professional,16.7964,44.91,4
18192,M,60000.00,M,0,0,Bachelors,Professional,23.9249,63.97,3
18194,F,70000.00,M,0,0,Bachelors,Professional,35.7091,85.96,3
18217,M,110000.00,M,0,5,High School,Management,3739.3284,6056.61,3
18219,F,120000.00,M,0,5,Partial High School,Professional,3732.5777,6038.56,4
18226,M,60000.00,M,1,0,Partial College,Skilled Manual,1091.8563,1725.98,2
18228,M,60000.00,M,1,0,Partial College,Skilled Manual,1089.4323,1709.98,2
18251,M,70000.00,S,5,5,Bachelors,Professional,3731.4707,6035.60,4
18253,F,80000.00,M,5,5,Graduate Degree,Management,20.7454,45.95,4
18260,F,70000.00,S,0,0,Bachelors,Professional,3731.4707,6035.60,4
18262,F,60000.00,S,3,3,Bachelors,Professional,74.6565,142.45,5
18285,M,60000.00,M,1,0,Partial College,Skilled Manual,52.9399,141.55,6
18287,F,40000.00,M,2,0,Bachelors,Professional,26.988,72.16,5
18292,M,70000.00,S,0,0,Bachelors,Professional,14.6796,39.25,4
18294,F,90000.00,M,1,0,Bachelors,Professional,50.6493,78.26,3
18317,F,30000.00,M,0,0,High School,Skilled Manual,31.6929,84.74,5
18319,F,30000.00,S,2,0,Partial College,Clerical,22.6159,60.47,3
18321,M,30000.00,S,0,0,Partial High School,Clerical,4.8396,12.94,2
18326,M,40000.00,M,2,0,Bachelors,Management,61.5772,97.96,4
18328,M,40000.00,M,0,0,High School,Skilled Manual,2.7228,7.28,2
18351,M,70000.00,M,0,0,Partial College,Skilled Manual,1265.6195,2319.99,1
18353,M,80000.00,M,0,0,Bachelors,Management,1260.2018,2316.97,2
18360,M,60000.00,M,0,0,Partial College,Skilled Manual,1121.0023,1750.98,2
18362,F,40000.00,M,0,0,High School,Skilled Manual,1091.5684,1725.21,5
18385,M,110000.00,M,4,2,Bachelors,Management,1.8663,4.99,1
18387,M,130000.00,M,3,2,Bachelors,Management,1.8663,4.99,1
18394,M,100000.00,M,1,2,Partial College,Professional,1252.8378,2297.28,2
18396,M,100000.00,M,1,2,Partial College,Professional,11.0256,29.48,2
18419,F,120000.00,M,1,3,High School,Professional,14.9526,39.98,2
18421,F,170000.00,M,1,0,Graduate Degree,Management,1.8663,4.99,1
18426,M,70000.00,M,3,0,Graduate Degree,Management,1281.4323,2362.27,4
18428,F,70000.00,S,3,0,Graduate Degree,Management,1265.9278,2332.28,3
18451,M,20000.00,M,2,1,Partial High School,Clerical,48.0219,75.47,3
18453,F,40000.00,S,0,0,Partial College,Skilled Manual,1.8663,4.99,1
18460,F,70000.00,S,0,0,Partial College,Skilled Manual,1273.84,2341.97,2
18462,M,30000.00,M,3,0,High School,Skilled Manual,2925.9463,4752.75,3
18485,M,80000.00,S,2,0,High School,Skilled Manual,3745.3568,6063.21,4
18034,M,10000.00,M,4,0,High School,Manual,23.9249,63.97,3
18045,F,30000.00,S,0,0,Partial College,Clerical,2445.0484,3941.5325,4
18052,F,60000.00,M,1,0,Partial College,Skilled Manual,1095.5963,1735.98,2
18059,F,60000.00,M,1,0,Partial College,Skilled Manual,1087.7386,1714.97,3
18070,F,60000.00,M,4,0,Bachelors,Management,1.8663,4.99,1
18077,M,70000.00,M,2,1,Partial College,Professional,60.0047,160.44,5
18084,F,60000.00,S,2,1,Partial College,Professional,1130.1616,1775.47,3
18095,M,60000.00,M,2,1,Bachelors,Management,43.4386,58.98,2
18102,M,80000.00,M,3,1,Bachelors,Management,1.8663,4.99,1
18109,M,60000.00,S,2,1,Partial College,Professional,46.1816,123.48,3
