SalesOrderNumber,EnglishProductName,OrderQuantity,OrderDate,UnitPrice,CustomerKey
SO43697,"Road-150 Red, 62",1,2010-12-29 00:00:00.000,3578.27,21768
SO43698,"Mountain-100 Silver, 44",1,2010-12-29 00:00:00.000,3399.99,28389
SO43699,"Mountain-100 Silver, 44",1,2010-12-29 00:00:00.000,3399.99,25863
SO43700,"Road-650 Black, 62",1,2010-12-29 00:00:00.000,699.0982,14501
SO43701,"Mountain-100 Silver, 44",1,2010-12-29 00:00:00.000,3399.99,11003
SO43702,"Road-150 Red, 44",1,2010-12-30 00:00:00.000,3578.27,27645
SO43703,"Road-150 Red, 62",1,2010-12-30 00:00:00.000,3578.27,16624
SO43704,"Mountain-100 Black, 48",1,2010-12-30 00:00:00.000,3374.99,11005
SO43705,"Mountain-100 Silver, 38",1,2010-12-30 00:00:00.000,3399.99,11011
SO43706,"Road-150 Red, 48",1,2010-12-31 00:00:00.000,3578.27,27621
SO43707,"Road-150 Red, 48",1,2010-12-31 00:00:00.000,3578.27,27616
SO43708,"Road-650 Red, 52",1,2010-12-31 00:00:00.000,699.0982,20042
SO43709,"Road-150 Red, 52",1,2010-12-31 00:00:00.000,3578.27,16351
SO43710,"Road-150 Red, 56",1,2010-12-31 00:00:00.000,3578.27,16517
SO43711,"Road-150 Red, 56",1,2011-01-01 00:00:00.000,3578.27,27606
SO43712,"Road-150 Red, 44",1,2011-01-01 00:00:00.000,3578.27,13513
SO43713,"Road-150 Red, 62",1,2011-01-02 00:00:00.000,3578.27,27601
SO43714,"Road-150 Red, 44",1,2011-01-02 00:00:00.000,3578.27,13591
SO43715,"Road-150 Red, 56",1,2011-01-02 00:00:00.000,3578.27,16483
SO43716,"Road-150 Red, 44",1,2011-01-02 00:00:00.000,3578.27,16529
SO43717,"Road-650 Black, 62",1,2011-01-02 00:00:00.000,699.0982,25249
SO43718,"Road-150 Red, 44",1,2011-01-03 00:00:00.000,3578.27,27668
SO43719,"Road-150 Red, 48",1,2011-01-03 00:00:00.000,3578.27,27612
SO43720,"Road-150 Red, 44",1,2011-01-03 00:00:00.000,3578.27,13264
SO43721,"Road-150 Red, 62",1,2011-01-03 00:00:00.000,3578.27,13590
SO43722,"Road-150 Red, 48",1,2011-01-04 00:00:00.000,3578.27,13581
SO43723,"Road-650 Black, 58",1,2011-01-04 00:00:00.000,699.0982,14520
SO43724,"Road-150 Red, 44",1,2011-01-04 00:00:00.000,3578.27,16520
SO43725,"Road-150 Red, 44",1,2011-01-05 00:00:00.000,3578.27,13258
SO43726,"Road-650 Black, 58",1,2011-01-05 00:00:00.000,699.0982,14560
SO43727,"Road-150 Red, 44",1,2011-01-05 00:00:00.000,3578.27,16607
SO43728,"Road-150 Red, 52",1,2011-01-06 00:00:00.000,3578.27,27666
SO43729,"Mountain-100 Silver, 44",1,2011-01-06 00:00:00.000,3399.99,11238
SO43730,"Mountain-100 Silver, 44",1,2011-01-06 00:00:00.000,3399.99,25861
SO43731,"Road-150 Red, 56",1,2011-01-06 00:00:00.000,3578.27,16629
SO43732,"Mountain-100 Black, 44",1,2011-01-06 00:00:00.000,3374.99,11025
