title,date,rating,review,isEdited,userName
เป็นบริการที่ดีมากค่ะ,2017-06-17 09:52:50,5,มีร้านให้เลือกเยอะ สะดวก รวดเร็ว,FALSE,Yliopp
คนขับและ Help center แย่มาก,2019-10-23 09:29:39,5,ปกติสั่งอาหารแล้วดูเวลาที่อาหารจะมาถึงตลอด ครั้งนี้เลือกจ่ายผ่านบัตรและทางแอพได้ตัดเงินค่าอาหารไปแล้ว ติดตามแอพล่าสุดคือเหลืออีก 7 นาที แล้วอยู่ดีๆก็มีข้อความยกเลิกออเดอร์แจ้งว่าไม่พบลูกค้า ทั้งๆที่คนขับยังไม่ได้มีการโทรคอนเฟิร์มเลยว่าอาหารมาถึงแล้วและลูกค้ารออยู่ตำแหน่งไหน ซึ่งโดยปกติแล้วคนขับของทุกแอพรวมถึงแอพนี้ด้วยจะมีการโทรมาก่อนทุกครั้ง ติดต่อ Help center ไปก็บอกว่าไม่รับผิดชอบเพราะคนขับไม่สามารถรอนานได้ ทั้งๆที่คนขับมารอจริงรึเปล่าไม่รู้,FALSE,Tung2504
Great service,2017-05-28 03:19:55,4,Great service.quick delivery,FALSE,jammy o
Fame,2020-03-13 04:04:39,5,Good job fast work low price,FALSE,fame??
ช้าอ่ะ,2019-03-06 07:03:24,1,คือบอกเวลาว่า 40-50 นาที ก้ควรจะตามนั้น ถ้านานแบบ 1-2 ชม ก้บอกลูกค้ามาเลย อย่าโกงเวลา เพราะลูกค้าเค้ารับได้ถ้านานแต่บอกก่อนแล้ว ไม่ใช่บอกว่าเร็วแต่กลับช้ามาก แล้วนานเดินไปก้ยกเลิกอาหารไม่ได้อีก รอนานจนไส้จะขาด,FALSE,Au5802Au
การจัดส่งแย่มากๆๆๆๆ,2019-02-19 06:33:29,1,สั่งซื้อน้ำปั่นผ่านแอพ3รอบ น้ำหกเละเทะทั้ง3รอบ มาถึงน้ำเหลือครึ่งแก้วตลอด ไม่มีความรับผิดชอบใดๆโทรหาทางแอพก็ให้แชทไปแจ้งปัญหา มันใช่เรื่องไหม?  ไรเดอร์ส่งอาหารก็ไม่มีการรับผิดชอบอะไร วิ่งหนีอย่างเดียว ใครคิดจะใช้บริการแอพนี้ ควรคิดให้ดีๆนะคะ ผิดหวังมากๆๆๆๆ แย่ แย่ โคตรแย่!!!,FALSE,กาญ1
นานชิบหาย ห่วยแตก,2019-11-06 09:29:38,1,"กุสั่งแค่ชานมให้กุรอเป็นชั่วโมง กุก็รอ แต่ไม่เห็นมีไอห่าไหนไปรับ แล้วเมื่อไหร่กุจะได้แดก รอพ่อรอแม่มึงหรอ1-2ชั่วโมง ทั้งๆที่ในแอปบอก50นาที กุก็ยอมรอ

ส่วนไอพวกโลกสวยทถ้ามึงจะมาบอกว่ากุสั่งน้อย เค้าเลยไม่รับ กุบอกได้เลยว่า วันหลังให้กำหนดขั้นต่ำสั่ง ขั้นต่ำราคาไว้เลย และตอนที่กุสั่งก็ส่งฟรี เพราะฉะนั้นไม่ว่ากุจะสั่งมากน้อยถูกแพง ยังไงก็ส่งฟรี ซึ่งเงินที่กุจ่ายมีแค่ค่าอาหารเท่านั้นไม่มีค่าส่ง 

กุแคนเซิลออเดอร์เพราะความช้าของมึง มึงแคลเซิลไป2รอบ เพราะช้าแม่งทั้ง2รอบ  มึงยังมีหน้ามาบอกว่า ถ้ากุแคนเซิลจะไม่สามารถจ่ายเงินปลายทางได้ โถไอสัส ให้คนรับของที่ร้านก่อนมั้ยก่อนจะมาคิดเรื่องเก็บปลายทาง ขนาดกุสั่ง2ออเดอร์มึงยังไม่ไปรับของเลย จะยกเลิกไม่ให้กุจ่ายปลายทางก็เรื่องของมึง เพราะกุคงไม่ใช้บริการของมึงแล้ว บายไอสัสฟู๊ดแพนควย",FALSE,boy18984
ออเดอร์ถูกยกเลิก แอพไม่เตือน,2019-02-28 11:48:12,1,รอไปสองชั่วโมง โคตรหิว มาดูอีกที อ้าว ยกเลิกของฉันซะงั้น สาสสสส,FALSE,Nicky.Aytac
Not good,2020-08-20 19:55:16,1,"ไม่สนับสนุนบริษัทที่เป็น Sponsor ให้กับช่องเนชั่นทีวี ที่นำเสนอข่าวโจมตีอีกฝ่ายและนำเสนอความอย่างบิดเบี้ยว 
Don’t support Foodpanda because they are a sponsor of Nation TV that board casts fake news.",FALSE,Jessica.jys
เป็นผู้ให้บริการที่แย่มากๆ แอพก็แย่มาก,2019-02-16 02:15:38,1,"1.ที่อยู่เลือกให้อัตโนมัติ เลือกเองไม่ได้ ปักหมุดไปคนทางเลย เบอร์ติดต่อร้าน เบอร์ติดต่อคนส่งก็ไม่มี

2.ยกเลิกออเดอร์เองหน้าตาเฉย ไม่โทรบอก ไม่บอกกล่าวเลย รอเป็นชั่วโมง ถ้าไม่กดดูสถานะก็ไม่รู้ว่าอยู่ๆยกเลิกเองเฉย อีก 2 วันส่งคูปองแทนคำขอโทษมา มุขนี้เก่าไป ไม่ให้อภัย ไม่ใช้ต่อหรอก มีใครถามก็จะบอกว่าห้ามใช้แอพนึ้เด็ดขาด",FALSE,Boyyza
ไหนบอกทุกที่ทุกเวลาไง,2019-03-07 02:56:29,1,"ทุกที่ตรงไหนอะ ทําไมfoodpandaถึงไม่ขยายอานาเขตให้มากกว่านี้ละ
คือมันบอกว่าบ้านของคุณไม่สามารถใช้foodpandaได้(บางบอน)????????",FALSE,Changch123ka
ห่างกันสักพัก,2020-08-20 16:15:47,1,ถอนสปอนเซอร์ช่องเน...แล้วจะกลับมาใช้นะ,FALSE,ไม่ชอบสื่อหลอกลวง
เรื่อง รีวิว,2020-08-28 07:06:39,5,"ควรมีหัวข้อ ""รีวิว"" เพิ่มเติมในประวัติรายการสั่งอาหาร ให้ลูกค้ากดรีวิวเองได้ ไม่ใช่รอให้ App เด้งขึ้นมาให้รีวิวอย่างเดียว เคยเจอร้านนึง อาหารแย่มาก แต่ App ไม่มีเด้งขึ้นมาให้รีวิว เสียความรู้สึก ไม่อยากให้คนอื่นเจออาหารแบบนั้นเหมือนเรา

*** ฝากปรับปรุง App ด้วยค่ะ ***",FALSE,yimmy_celeb
แย่,2019-12-10 10:13:22,1,แอพกระจอก ไม่ได้เรื่อง ค้าง โหลดช้า ไรเดอร์กว่าจะรับออเดิร์สักคนรอเป็นชาติ,FALSE,sunfer110
คืออะไรคะ ?,2019-03-04 04:36:21,1,ทำไมอยู่ๆร้านอาหารถึงปิดชั่วคราวหมดเลย ? แอพมีปัญหาอะไรคะทำไมถึงสั่งได้แต่แม็ค ? งงมากช่วยปรับปรุงด้วยนะคะ ตอนแรกก่อนจะติดตั้งแอพก็อ่านนรีวิวมาเห็นคนคอมเพลย์เยอะมาก เลยไม่คิดอะไรพอเจอกับตัวถึงรู้เลยค่า,FALSE,กูนี่แหละไอสาส
เคยเลิกสั่งมาครั้งหนึ่งกลับมาสั่งก็ห่วยเหมือนเดิม,2019-02-19 04:39:10,1,"ก่อนหน้านี้สั่งอาหาร อยากจะยกเลิกก็ยกเลิก ทั้งที่รออาหารเกือบชม. แล้วก็มีเมล์มาว่ายกเลิกเฉยเลย
ครั้งนี้ได้โค้ดส่วนลดของกรุงศรี 100บาท สั่งเสร็จ แอพยกเลิก แล้วคือไร โค้ดนั้นก็ใช้ไม่ได้อีก โทรเข้าเบอร์call center ที่ให้ไว้เป็นtravelloka คุยก็ไม่รู้เรื่องคนรับพูดภาษาเขมร คือไรแอพนี้ งงไปหมด",FALSE,Knight-18
