isEdited,rating,review,title,date,userName,developerResponse.id,developerResponse.body,developerResponse.modified
FALSE,5,ใช้บริการทุกวันเลยค่ะ,ดีมากค่ะ ใช้ทุกวัน,2021-01-22 07:58:10,Jane pailin,,,
FALSE,4,"ใช้บริการมาทั้งหมด เกือบจะ3ปี
ตอนนี้อยู่ระดับ แพลตตินัม

JustGrab
GrabBike
GrabCar
GrabSUV ถือว่าค่อนข้างดี มีปัญหาน้อยน้อยครั้ง

GrabFood ค่อนข้างดี ใช้บริการตลอด ยังไม่เคยเจอปัญหา

***แต่ต้องขอตำหนิ ว่า

1.โค้ดโปรโมชั่นต่อวันหมดไวเกินไป
2.การปักหมุดในบริการต่างๆยังไม่ดีเท่าที่ควร
3.การค้นหาที่จะปักหมุดบางที่ยังปักหมุดไม่ได้
(อยากให้แอพGrabพัฒนาจุดนี้ด้วย)

***เรื่องที่จะชม คือ
1.การแจ้งเรื่องร้องเรียน ผ่านอีเมลล์ ติดต่อกลับถือว่าค่อนข้างเร็ว / ตอนนี้มีระบบแชทได้ถึง 21:00น ก็ถือว่าโอเคเลย รอไม่เกิน5นาที

2.เวลาติดต่อร้องเรียนอะไรเข้าไปทั้งผ่านอีเมลล์ แชท หรือการโทร ก็ได้รับการดูแลแก้ไขให้อย่างดี รวดเร็ว และพนักงานก็สุภาพ

GrabExpress ก็ค่อนข้างดี จัดส่งไวของไม่ชำรุด
พนักงานในแต่ละบริการ
ส่วนมากถือว่าบริการดีและสุภาพ",การบริการต่างๆ ใน กทม.,2020-09-09 10:56:36,Wmnpt,,,
FALSE,4,"แต่บวกค่าอาหารจากราคาปกติมากเกินไป บางร้านบวกไป 50% เช่นไปซื้อเอง 100 พอสั่ง grab เป็น 150 มันเว่อร์เกินไป แต่บางร้านก็บวกไม่เกิน 30% เห็นแล้วสั่งไม่ลง ตอนนี้เริ่มไปใช้แอพอื่นบ้าง
ปล. ชอบ description ของแอพเวลามีเวอชั่นใหม่ ชอบอ่าน น่ารักดี",ใช้งานดี user friendly,2020-10-14 10:11:29,hjd71924,,,
FALSE,1,Map โครตมั่วซั่ว วิ่งทะลุกำแพงได้ด้วย ปักหมุดในมบ. เลยหน้าปากซอยไปวนเข้าซอยด้านหลัง ทั้งๆที่ด้านหลังไม่มีทางเข้า ราคากระโดดไปแพงเลย ใช้มาตั้งแต่เข้ามาเมืองไทย ยิ่งใช้ยิ่งเน่า,คห,2020-10-13 02:02:31,Tipchai,18474989,แกร็บสวัสดีค่ะ แกร็บต้องขออภัยในความไม่สะดวกด้วยค่ะ ในกรณีที่เส้นทางในแอปไม่ถูกต้อง แกร็บแนะนำให้ส่งเรื่องเข้ามาทาง https://bit.ly/3aZwULa เพื่อให้แกร็บทำการตรวจสอบและแก้ไขนะคะ และหากต้องการให้แกร็บช่วยเหลือในด้านใดเพิ่มเติม สามารถติดต่อแกร็บเข้ามาทาง Facebook Inbox / Twitter @GrabTH ได้เลยค่ะ รวมถึงทาง Call Centre ผ่านศูนย์ช่วยเหลือในแอปได้เลยค่ะ,2020-10-14T10:39:09Z
FALSE,1,"ไม่ใช่หมุดมันมั่วธรรมดา สั่งวันนี้ ต้องตั้งใหม่ พรุ่งนี้มากดสั่งใหม่ ต้องมาเช็คหมุดอีก 
บางทีตั้งเซฟหมุดไว้แล้ว มันก็ไปปักไว้ที่ไหนก็ไม่รู้ 
น่าเบื่อมาก",แย่สุดของแอพ grab คือปักหมุดมั่วมาก,2020-09-07 08:02:57,ชำระหนี้,17936566,แกร็บต้องขออภัยในความไม่สะดวกด้วยนะคะ ในกรณีที่หมุดในแอปไม่ตรง แกร็บแนะนำให้ส่งเรื่องเข้ามาทาง https://bit.ly/3aZwULa เพื่อให้แกร็บทำการตรวจสอบและแก้ไขต่อไปค่ะ และหากต้องการให้แกร็บช่วยเหลือในด้านใดเพิ่มเติม สามารถติดต่อแกร็บเข้ามาทาง Facebook Inbox / Twitter @GrabTH ได้เลยนะคะ รวมถึงติดต่อ Call Centre ผ่านทางศูนย์ช่วยเหลือในแอปได้เช่นกันค่ะ,2020-09-17T14:46:47Z
TRUE,1,"1. สั่งอาหารไป order ถูกยกเลิกแต่เงินถูกตัดไปแล้ว แล้วเงินก็ไม่ถูกโอนคืน สาเหตุที่ถูกยกเลิกคือหาคนส่งไม่ได้ คำถามคือ ถ้ายังหาคนส่งไม่ได้จะรีบตัดเงินทำไมเพื่ออะไร แล้วเงินก็ยังโอนคืนไม่ได้ วันหนึ่งแล้ว ถ้าคนที่ไม่มีเงินทำอย่างไร เงินหาย ข้าวก็ไม่ได้กิน ทำไมไม่รอให้ได้คนส่ง สั่งอาหารแล้วค่อยตัดก็ได้ จะได้ไม่มีปัญหา ถ้ากลัวลูกค้ายกเลิก order ที่สั่งแล้วอ่ะ ไม่เห็นต้องรีบตัดตั้งแต่สั่งเลย หรือถ้าจะตัดก็ควรโอนคืนทันที่ อย่ามาสร้างปัญหาให้ user มันเห็นแก่ตัว
2. พอจะไปติดต่อขอความช่วยเหลือบแกว่าไม่มีพนักงาน แล้วจะให้ทำไง service ตรงนี้แย่มาก
3. พอไปให้ feedback ในแอปก็ยังจำกัดจำนวนคำเพื่อ? กลัวถูกด่าเหรอ ถ้าไม่อยากรับฟังปัญหาขนาดนั้นก็เลิกทำแอปไป รับฟังแล้วแก้ไขปัณหาด้วย ไม่งั้นจะไปใช้แอปอื่นแล้ว แอปอื่นดีๆอีกเยอะ ค่าส่งก็ถูกกว่า โปรโมชันก็มากกว่า สั่งน้อยก็ไม่เห็นแก่ตัวปรับเงินเพิ่ม เพื่อนๆก็บอกหลายที่แล้วให้เลิกใช้ แต่เคยใช่แอปนี่อยู่มาแล้วก็ไม่อยากเปลี่ยน แต่ถ้ายังไม่ปรับปรุง ยังเห็นแก่ตัวแบบนี้อยู่ คงถึงเวลาต้องเลิกใช้แล้ว อย่าคิดว่าตอนนี้คนใช้เยอะแล้วจะทำอะไรก็ได้นะ เพราะถ้ามันยิ่งแย่ลงทุกวันคนก็เลิกใช้ได้เหมือนกัน 

ขอบคุณครับ
จากลูกค้าระดับ Platinum",Service และขั้นตอนการทำงานแย่มาก,2020-11-10 20:17:29,Pup-pap,18554924,แกร็บสวัสดีค่ะ โดยปกติแล้วแกร็บจะมีการกันวงเงินบัตร ซึ่งจะเป็นการที่แกร็บส่งคำสั่งเพื่อให้ธนาคารผู้ออกบัตร ทำการล็อควงเงิน เพื่อตรวจสอบว่าบัตรมียอดเงินเพียงพอสำหรับใช้งานหรือไม่นะคะ โดยหากการใช้งานไม่สำเร็จ ระบบจะทำการคืนเงินโดยอัตโนมัติทันทีค่ะ แต่ระยะเวลาที่ยอดเงินจะเข้านั้น จะขึ้นอยู่กับทางธนาคารนะคะ โดยทางคุณผู้ใช้บริการจะได้รับเงินคืนอย่างแน่นอนค่ะ ในส่วนนี้แกร็บแนะนำให้ตรวจสอบข้อมูลการกันวงเงินเพิ่มเติมผ่านทาง https://bit.ly/2Z4rWqf นะคะ แกร็บต้องขออภัยในความไม่สะดวกเป็นอย่างสูงค่ะ,2020-10-19T04:04:11Z
FALSE,1,"Grab bike
ใช้มา8เดือนแล้ว วันแรกกดรับสายคนขับไม่ได้ยังไง ปัจจุบันก็ยังรับสายไม่ได้อย่างนั้น ไม่คิดจะปรับปรุงแก้ไขหน่อยหรอ",Calling,2020-10-12 17:17:20,Carl Benefield,18475047,แกร็บสวัสดีค่ะ ในส่วนนี้แกร็บแนะนำให้ลองลบแอปและติดตั้งใหม่ดูก่อนนะคะ เนื่องจากการรับโทรศัพท์จากพาร์ทเนอร์คนขับผ่านหน้าแอปนั้น สามารถดำเนินการได้ตามปกตินะคะ ทั้งนี้หากลบแอปและติดตั้งใหม่เรียบร้อยแล้ว แต่ยังพบปัญหาเช่นเดิม สามารถติดต่อแกร็บเข้ามาทาง Facebook Inbox / Twitter @GrabTH เพื่อให้แกร็บตรวจสอบได้เลยค่ะ หรือติดต่อ Call Centre ผ่านทางศูนย์ช่วยเหลือในแอปได้เช่นกันค่ะ,2020-10-14T10:41:34Z
FALSE,1,สั่งกว่าอาหารจะได้เป็น ชม  หน้าแอปโชว์ 30 นาทีมาส่งจริง ชม กว่า คนขับเหมือนรับงานซ้อนได้ วิ่งมั่วไปหมด,รออาหารนานมาก,2021-02-26 20:29:55,RogerYudya,,,
FALSE,1,สั่งอาหารไม่ถึง5กิโล รอเกือบชั่วโมง เพราะคนขับต้องอ้อมไปส่งให้อีกเจ้าก่อน บางทีสั่งของเย็นๆที่มีน้ำแข็ง มาถึงน้ำแข็งละลายหมด เจอหลายรอบมากๆๆๆๆๆๆ,ระบบGrabfoodที่รับงานซ้อนแย่มาก,2021-02-13 05:04:28,Natphit,21127014,แกร็บสวัสดีค่ะ แกร็บต้องขออภัยในความไม่สะดวกเป็นอย่างสูงค่ะ ทั้งนี้ในกรณีที่เครื่องดื่มละลาย ทางคุณผู้ใช้บริการสามารถติดต่อแกร็บเข้ามาทาง Facebook Inbox / Twitter @GrabTH เพื่อให้แกร็บตรวจสอบเพิ่มเติมได้เลยนะคะ หรือติดต่อ Call Centre ผ่านทางศูนย์ช่วยเหลือในแอปได้เช่นกันค่ะ,2021-02-18T02:54:49Z
FALSE,5,ใช้ บริการ Grab food เป็นส่วนใหญ่ ราคารวม ถูกกว่า เจ้าอื่นๆ เพราะ มีโปรโมชั่นที่จูงใจ ไม่ค่อยมีปัญหาเรื่องการส่ง แต่ ค่าส่ง หลายๆเจ้า ไม่ค่อยสมเหตุสมผล และราคาอาหาร บางร้านก็ขายแพงกว่าหน้าร้านมากเกินควร,The best food delivery app. so far.,2021-01-22 03:55:36,mdcu,,,
