review,rating,isEdited,title,date,userName
อาหารก็ถูก ค่าส่งก็ถูก,5,FALSE,ค่าส่ง 10 บาทคุ้มมากค่ะ ร้านไกลอยู่!!,28/12/2019 12:00,น้องเอเชีย
ส่งไว รวดเร็วทันใจมากเลยค่ะ,5,FALSE,อาหารมื้อค่ำ,23/12/2019 13:51,หมวดกระต่าย
Ever Since I switched to my iPhone 7 Plus line man has not worked. As soon as I click on a service button like Messenger or food or postal it kills the app therefore I have rated of this app one star,1,FALSE,Never works,21/10/2017 9:39,kellettbkk
"1 ควรมีช่องให้ค้นหาร้านใกล้ๆ
2 ใส่โค้ดแล้วรอนาน
3 มีแต่ร้านสปอนเซอร์หรืออะรไก็ไม่รู้
โดยรวมแล้วใช้ยาก ควรรับสมัครเทสเตอร์ใหม่ค่ะ",1,FALSE,UIอ่อน แอพยังไม่เสถียร,30/9/2017 7:31,552541513
ช่วยให้แท็กซี่ทุกคนรับการโอนเงินเป็นไม่ได้หรอครับ แล้วช่องที่เขียนไว้ว่า ข้อความ มีไว้ทำไมอะครับ เขียนไปก็ไม่เห็นจะเคยอ่านกัน เขียนบ้านเลขที่ไป เขียนบอกว่าขอคนที่รับโอน พอคุยในไลน์ก็มาบอกไม่สะดวกรับโอนยกเลิกเลยครับ คือไรอะ แล้วก็ยังถามทุกรอบอีกด้วยว่าบ้านเลขที่เท่าไหร่ ถ้าเป็นงี้เอากล่องข้อความออกก็ได้นะครับ,1,FALSE,การโอนเงิน,27/12/2018 0:21,น้องเลย์นะครับ
พี่เค้าน่ารักมากก ที่สุด บริการดีมากกกก ยิ้มสดใสมากกก,5,FALSE,Super Line man,1/3/2020 2:07,แม่หญิง เซรี
"ยกให้ที่1เรื่องค่าส่งแพง! ซอยข้างๆยัง70-80บาท
แอพอื่นเริ่มต้น10บาทต่างกันอย่างชัดเจน",1,FALSE,ค่าส่ง,18/6/2019 10:33,ไอควายแมค
คนส่งบริการดี ออเดอร์ถูกต้องตามสั่งจ้า ??,5,FALSE,ดีเยี่ยม,16/11/2020 4:41,fah nareerat
"ค่าส่งอาหารแพงมากกก แพงก็ค่าอาหาร3 เท่าตัวเลย 
แต่ข้อดีคือมีอาหารมากกว่าแอพอื่นๆ แน่เสียอย่างเดียวเรื่องค่าส่งแพงเกินจริง",1,FALSE,ค่าส่ง,27/12/2019 20:26,Songja2
แอพไม่พร้อมเลย,1,FALSE,แอพไม่พร้อม,25/10/2017 7:49,อย่าเยอะหลายชื่อล่ะ
ควรจะทำให้จ่ายด้วยบัตรเดบิตหรือเครดิตได้แล้วนะคะ,1,FALSE,สิ่ฃที่ควรปรับปรุง,27/8/2017 9:24,Bingsoooooo
Line Man ต้องการสิทธิ์เข้าถึงรายชื่อเพื่อนในไลน์ และสิทธิ์ในการส่งข้อความหาเพื่อนทุกคนและกลุ่มทุกกลุ่ม ในนามของลูกค้าทำไมครับ มันไม่เห็นจะเกี่ยวข้องอะไรกับการที่ลูกค้าจะใช้บริการของไลน์แมนเลย มันควรเป็นเรื่องของใครของมันนะ ถ้าผมจะใช้บริการ มันก็ควรเป็นเรื่องระหว่างผมกับไลน์แมน จะเอาข้อมูลเพื่อน ข้อมูลกลุ่มของผมไปทำไมเหรอ,1,FALSE,ขอสิทธิ์เข้าถึงข้อมูลส่วนตัวลูกค้ามากเกินไป,27/2/2021 5:40,Wuddhi
ดีครับผมชอบใช้ lineman,5,FALSE,ส่งรวดเร็ว,30/5/2020 14:55,Nattabot
แอปควายจริงๆ อย่าไปสั่ง ค่าส่งมีหรอวะ3ร้อยกว่าบาท พ่อมึง,1,FALSE,ควาย,28/7/2020 8:17,แอปควาย
คนส่งอาหารสุภาพมากกกกกกก ก.ไก่ล้านตัว ยกมือไหว้ตลอดทำเอาเกรงใจเลย,5,FALSE,สุภาพมากกกกกก,27/4/2020 23:10,แสตมป์โชคชัย4
ค่าส่งแพงมากกกกกก อย่างอื่นดีหมด คนขับบริการดี แต่ค่าส่งทำไมแพงเหลือเกินนนนนน,3,FALSE,ค่าส่ง,25/5/2020 10:23,อู้ละหว่าตะเหม่
อาหารสะอาด รสชาติดี ส่งของเร็ว,5,FALSE,ดีมาก,3/8/2020 10:36,geegi jk
tell me the reason for permission my friend info from app required,1,FALSE,require,20/8/2018 10:45,jormkwan
ไลน์แมนบริการดีมากค่ะ โทรบอกรายงานน่ารักมากค่ะ,5,FALSE,ไลน์แมนบริการดีมากค่ะ,12/12/2019 17:53,Piyanuch Nojit
ห่วยเเตกมากครับ เรียกรถอยู่ดีๆก็ ยกเลิกเฉยเลย ทำผมเสียเวลามากๆครับ,1,FALSE,Line Man Taxi,7/1/2019 11:26,in front of us
