year,month,day,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Precip Accum,Condition
2016,3,3,12:00 AM,75,57,53,CALM,0,0,28.9,0.0,0.0,Fair
2016,3,3,12:30 AM,73,57,57,N,2,0,28.9,0.0,0.0,Fair
2016,3,3,1:00 AM,73,57,57,CALM,0,0,28.9,0.0,0.0,Fair
2016,3,3,1:30 AM,73,57,57,CALM,0,0,28.9,0.0,0.0,Fair
2016,3,3,2:00 AM,72,57,60,NW,3,0,28.9,0.0,0.0,Fair
2016,3,3,2:30 AM,72,57,60,WNW,2,0,28.9,0.0,0.0,Fair
2016,3,3,3:00 AM,72,55,57,CALM,0,0,28.9,0.0,0.0,Fair
2016,3,3,3:30 AM,70,57,64,CALM,0,0,28.9,0.0,0.0,Fair
2016,3,3,4:00 AM,70,57,64,CALM,0,0,28.9,0.0,0.0,Fair
2016,3,3,4:30 AM,70,59,68,CALM,0,0,28.9,0.0,0.0,Fair
2016,3,3,5:00 AM,68,55,64,W,3,0,28.9,0.0,0.0,Fair
2016,3,3,5:30 AM,68,55,64,CALM,0,0,28.9,0.0,0.0,Fair
2016,3,3,6:00 AM,68,55,64,CALM,0,0,29.0,0.0,0.0,Fair
2016,3,3,6:30 AM,68,55,64,CALM,0,0,29.0,0.0,0.0,Fair
2016,3,3,7:00 AM,66,57,73,CALM,0,0,29.0,0.0,0.0,Fair
2016,3,3,7:30 AM,68,57,68,CALM,0,0,29.0,0.0,0.0,Fair
2016,3,3,8:00 AM,70,57,64,SSW,2,0,29.0,0.0,0.0,Fair
2016,3,3,8:30 AM,72,59,64,S,5,0,29.0,0.0,0.0,Fair
2016,3,3,9:00 AM,73,59,61,SSE,2,0,29.0,0.0,0.0,Fair
2016,3,3,9:30 AM,75,59,57,WNW,2,0,29.0,0.0,0.0,Fair
2016,3,3,10:00 AM,77,59,54,S,5,0,29.0,0.0,0.0,Fair
2016,3,3,10:30 AM,79,55,44,SSW,3,0,29.0,0.0,0.0,Fair
2016,3,3,11:00 AM,82,54,37,SE,3,0,29.0,0.0,0.0,Fair
2016,3,3,11:30 AM,82,54,37,S,3,0,29.0,0.0,0.0,Fair
2016,3,3,12:30 PM,86,50,29,E,3,0,29.0,0.0,0.0,Fair
2016,3,3,1:00 PM,88,45,22,S,5,0,28.9,0.0,0.0,Fair
2016,3,3,1:30 PM,90,50,26,W,3,0,28.9,0.0,0.0,Fair
2016,3,3,2:00 PM,91,50,24,SE,3,0,28.9,0.0,0.0,Fair
2016,3,3,2:30 PM,91,52,26,SW,2,0,28.8,0.0,0.0,Fair
2016,3,3,3:00 PM,91,48,23,SSE,5,0,28.8,0.0,0.0,Partly Cloudy
2016,3,3,3:30 PM,91,50,24,S,6,0,28.8,0.0,0.0,Partly Cloudy
2016,3,3,4:00 PM,91,50,24,N,2,0,28.8,0.0,0.0,Partly Cloudy
2016,3,3,4:30 PM,90,52,27,NNE,5,0,28.8,0.0,0.0,Partly Cloudy
2016,3,3,5:00 PM,90,52,27,ENE,2,0,28.8,0.0,0.0,Partly Cloudy
2016,3,3,5:30 PM,90,52,27,CALM,0,0,28.8,0.0,0.0,Fair
2016,3,3,6:00 PM,90,54,29,CALM,0,0,28.8,0.0,0.0,Fair
2016,3,3,6:30 PM,86,52,31,NNW,2,0,28.8,0.0,0.0,Fair
2016,3,3,7:00 PM,84,54,35,CALM,0,0,28.8,0.0,0.0,Fair
2016,3,3,7:30 PM,82,55,39,CALM,0,0,28.8,0.0,0.0,Fair
2016,3,3,8:00 PM,81,55,42,CALM,0,0,28.8,0.0,0.0,Partly Cloudy
2016,3,3,8:30 PM,81,55,42,WSW,3,0,28.9,0.0,0.0,Partly Cloudy
2016,3,3,9:00 PM,81,55,42,CALM,0,0,28.9,0.0,0.0,Partly Cloudy
2016,3,3,9:30 PM,81,57,45,NW,1,0,28.9,0.0,0.0,Partly Cloudy
2016,3,3,10:00 PM,77,57,50,NNW,5,0,28.9,0.0,0.0,Partly Cloudy
2016,3,3,10:30 PM,77,57,50,N,5,0,28.9,0.0,0.0,Partly Cloudy
2016,3,3,11:00 PM,77,57,50,CALM,0,0,28.9,0.0,0.0,Partly Cloudy
2016,3,3,11:30 PM,77,57,50,CALM,0,0,28.9,0.0,0.0,Partly Cloudy
2016,3,4,1:00 AM,73,59,61,CALM,0,0,28.9,0.0,0.0,Partly Cloudy
2016,3,4,1:30 AM,73,59,61,CALM,0,0,28.9,0.0,0.0,Partly Cloudy
2016,3,4,2:00 AM,72,59,64,CALM,0,0,28.9,0.0,0.0,Partly Cloudy
2016,3,4,3:00 AM,72,59,64,CALM,0,0,28.8,0.0,0.0,Partly Cloudy
2016,3,4,3:30 AM,70,59,68,CALM,0,0,28.8,0.0,0.0,Partly Cloudy
2016,3,4,4:00 AM,70,59,68,CALM,0,0,28.8,0.0,0.0,Partly Cloudy
2016,3,4,4:30 AM,68,59,73,CALM,0,0,28.8,0.0,0.0,Partly Cloudy
2016,3,4,5:00 AM,68,59,73,CALM,0,0,28.8,0.0,0.0,Partly Cloudy
2016,3,4,5:30 AM,66,59,78,CALM,0,0,28.8,0.0,0.0,Partly Cloudy
2016,3,4,6:00 AM,66,59,78,CALM,0,0,28.9,0.0,0.0,Partly Cloudy
2016,3,4,6:30 AM,66,59,78,CALM,0,0,28.9,0.0,0.0,Partly Cloudy
2016,3,4,7:00 AM,66,59,78,CALM,0,0,28.9,0.0,0.0,Partly Cloudy
2016,3,4,7:30 AM,68,61,78,CALM,0,0,28.9,0.0,0.0,Partly Cloudy
2016,3,4,8:00 AM,70,59,68,CALM,0,0,28.9,0.0,0.0,Partly Cloudy
2016,3,4,8:30 AM,73,59,61,CALM,0,0,28.9,0.0,0.0,Partly Cloudy
2016,3,4,9:00 AM,77,59,54,CALM,0,0,28.9,0.0,0.0,Fair
2016,3,4,9:30 AM,79,59,51,CALM,0,0,28.9,0.0,0.0,Fair
2016,3,4,10:00 AM,81,57,45,SSE,2,0,29.0,0.0,0.0,Fair
2016,3,4,10:30 AM,81,57,45,NE,3,0,28.9,0.0,0.0,Fair
2016,3,4,11:00 AM,84,57,40,ESE,3,0,28.9,0.0,0.0,Fair
2016,3,4,11:30 AM,86,57,37,SSE,3,0,28.9,0.0,0.0,Fair
2016,3,4,12:00 PM,86,57,37,ESE,5,0,28.9,0.0,0.0,Fair
2016,3,4,12:30 PM,88,57,35,S,5,0,28.9,0.0,0.0,Fair
2016,3,4,1:00 PM,90,57,33,SSE,5,0,28.8,0.0,0.0,Fair
2016,3,4,1:30 PM,90,55,31,ENE,2,0,28.8,0.0,0.0,Fair
2016,3,4,2:00 PM,91,54,28,SSE,6,0,28.8,0.0,0.0,Fair
2016,3,4,2:30 PM,93,52,24,S,5,0,28.8,0.0,0.0,Fair
2016,3,4,3:00 PM,93,52,24,SE,6,0,28.8,0.0,0.0,Fair
2016,3,4,3:30 PM,93,50,23,SE,5,0,28.8,0.0,0.0,Fair
2016,3,4,4:00 PM,93,52,24,SSE,6,0,28.8,0.0,0.0,Fair
2016,3,4,4:30 PM,93,52,24,SSE,8,0,28.8,0.0,0.0,Fair
2016,3,4,5:00 PM,93,50,23,SSE,7,0,28.8,0.0,0.0,Fair
2016,3,4,5:30 PM,93,52,24,ESE,3,0,28.8,0.0,0.0,Fair
2016,3,4,6:00 PM,91,54,28,NNE,5,0,28.8,0.0,0.0,Fair
2016,3,4,6:30 PM,88,54,31,NNE,3,0,28.8,0.0,0.0,Fair
2016,3,4,7:00 PM,86,54,33,N,1,0,28.8,0.0,0.0,Fair
2016,3,4,7:30 PM,86,55,35,WSW,3,0,28.8,0.0,0.0,Fair
2016,3,4,8:00 PM,84,55,37,W,3,0,28.8,0.0,0.0,Fair
2016,3,4,8:30 PM,84,52,33,W,7,0,28.8,0.0,0.0,Fair
2016,3,4,9:00 PM,82,50,32,WSW,7,0,28.8,0.0,0.0,Fair
2016,3,4,9:30 PM,84,50,30,SSW,6,0,28.8,0.0,0.0,Fair
